"Name","Unmodelled (BC/AD)",,,,"Modelled (BC/AD)",,,,"Indices
Amodel 108.3
Aoverall 108.5",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Boundary End CE-1",,,,,"-5303","-5154","-5333","-4425",,,,,99.2,
"R_Date Beta-652874_CE1","-5468","-5324","-5474","-5312","-5381","-5311","-5470","-5226",,93.3,,95.6,99.6,
"R_Date Beta-317705_CE1","-5321","-5217","-5371","-5211","-5324","-5224","-5361","-5216",,103,,96.8,99.9,
"R_Date Beta-652873_CE1","-5303","-5215","-5318","-5084","-5309","-5251","-5321","-5209",,105.8,,96.4,99.9,
"Phase CE-1 Neolithic exterior",,,,,,,,,,,,,,
"Boundary Start CE-1",,,,,"-5493","-5313","-5832","-5227",,,,,99,
"Sequence FM_baseline_v2_1_CE",,,,,,,,,,,,,,
"Date End CDS_sup Iron Age pulse",,,,,"289","24891","20","24891",,,,,97.5,
"Boundary End CDS_sup Iron Age pulse",,,,,"-334","-144","-352","89",,,,,97.9,
"Span Span CDS_sup Iron Age pulse",,,,,"95","307","70","478",,,,,99.3,
"R_Date Beta-596596_Sala_del_Llac_UE13_CDS_sup4","-750","-485","-758","-416","-530","-411","-714","-403",,78.6,,95.3,99.6,
"R_Date Beta-596598_Sala_del_Llac_UE12_CDS_sup4","-449","-382","-516","-364","-414","-384","-512","-364",,104,,96.6,100,
"R_Date Beta-596597_Sala_del_Llac_UE11_CDS_sup4","-350","-122","-356","-57","-354","-190","-366","-120",,109.9,,96.1,99.8,
"R_Date Beta-631279_GPA_Sector5_nivell1_CDS_sup4","-352","-174","-364","-121","-359","-285","-372","-169",,110.4,,96.3,99.8,
"R_Date Beta-631276_GPE_Boca_Pou_Palletes_CDS_sup4","-513","-401","-725","-394","-471","-400","-538","-395",,112.9,,96.4,99.9,
"R_Date Beta-631275_GPE_Rasa_linia_superior_CDS_sup4","-399","-236","-405","-209","-401","-357","-407","-227",,111.9,,96.5,99.9,
"Phase CDS_sup Iron Age pulse",,,,,,,,,,,,,,
"Date Start CDS_sup Iron Age pulse",,,,,"-617","-428","-901","-411",,,,,99.3,
"Boundary Start CDS_sup Iron Age pulse",,,,,"-710","-442","-1133","-417",,,,,96.9,
"R_Date Beta-652877_GPE_Rasa_linia_inferior_CDS_inf3","-24303","-23996","-24381","-23961","-24301","-23995","-24384","-23960",,100.9,,96,99.6,
"R_Date Beta-652876_GPE_Sondeig2_top_CDS_inf3","-24090","-23938","-24313","-23903","-24092","-23937","-24317","-23901",,100.8,,96,99.7,
"Phase CDS_inf upper pulse",,,,,,,,,,,,,,
"Boundary Transition CDS_inf basal / CDS_inf upper",,,,,"-34038","-29966","-34121","-25131",,,,,98,
"R_Date Beta-596599_GPE_Base_Laminacions_CDS_inf2","-34046","-33616","-34186","-33441","-34071","-33636","-34210","-33436",,100,,95.1,99.6,
"R_Date Beta-572489_GPA_Sector5_nivell2_CDS_inf1","-35782","-35112","-36516","-34991","-35683","-35117","-36432","-34896",,105.2,,94.1,99.5,
"Phase CDS_inf basal pulse",,,,,,,,,,,,,,
"Boundary Transition CDI / CDS_inf basal",,,,,"-37117","-35345","-38213","-35134",,,,,99.2,
"R_Date Beta-652875_GPE_Sondeig2_base_CDI","-38536","-37826","-38862","-37521","-38561","-37850","-38894","-37535",,100.5,,95.5,99.3,
"Phase CDI basal bracket",,,,,,,,,,,,,,
"Sequence FM_baseline_v2_1_interior",,,,,,,,,,,,,,
"U(0,4)","3.98986e-17","4","3.98986e-17","4","5.37764e-17","2.332","5.37764e-17","3.788",,100,,,99.8,
"T(5)","-1.14","1.14","-2.65","2.65",,,,,,,,,99.3,
"Outlier_Model General",,,,,"-64","60","-611","696",,,,,100,
"Curve Atmospheric",,,,,,,,,,,,,,
