Site,Model basis,Main sources,Role in regional model
Abric Romaní,Reworked published framework.,Camps and Higham 2012; Vaquero and Carbonell 2013; Higham et al. 2014.,Terminal MP and Protoaurignacian anchors.
L'Arbreda,Reworked published framework.,Wood et al. 2014; Higham et al. 2014.,Long regional backbone from late MP to Gravettian.
Cova Foradada,Built in this workflow.,Morales et al. 2019; Rodríguez-Hidalgo et al. 2019; Núñez-Lahuerta et al. 2024.,Mediterranean Châtelperronian and early Upper Palaeolithic reference.
Cova Gran de Santa Linya,Reworked published chronological and stratigraphic data.,"Martínez-Moreno et al. 2010, 2012, 2018; Mora et al. 2018.",S1B/497D comparator around the transition interval.
Cova de la Font Major,Built in this workflow.,"Morales et al. 2024; Salas-Altés et al., in press.",Inland contextual and human-presence record.
Cova del Coll Verdaguer,Built in this workflow.,"Daura et al. 2017, 2021.",Coastal-prelittoral contextual record.
La Griera,Built in this workflow.,Morales et al. 2025.,Younger Upper Palaeolithic sequence.
Riera dels Canyars,Built in this workflow.,"Daura et al. 2013, 2017.",Open-air coastal comparator.
Teixoneres,Reworked published chronological data.,Talamo et al. 2016.,Terminal MP comparator with late Neanderthal evidence.
Cova del Gegant,Reworked published chronological data.,Daura et al. 2021.,Level-based coastal human-presence comparator.
